epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
114,35734.1,1.43953,0.88809,1.32116,0.82496,0.76667,0.81446,0.39918,1.77729,0.97188,1.53163,0.002542,0.002542,0.002542
115,36046.6,1.44178,0.90464,1.32076,0.82186,0.77244,0.81594,0.39942,1.77773,0.97036,1.53088,0.002476,0.002476,0.002476
116,36362,1.42185,0.888,1.31755,0.81978,0.77899,0.81819,0.39857,1.77794,0.96809,1.53201,0.00241,0.00241,0.00241
117,36677.7,1.42478,0.87364,1.31447,0.81946,0.77948,0.81655,0.39891,1.77805,0.96839,1.53224,0.002344,0.002344,0.002344
118,36990.7,1.42632,0.87727,1.3108,0.81897,0.77953,0.81628,0.39892,1.78048,0.96672,1.5336,0.002278,0.002278,0.002278
119,37301.1,1.42339,0.88264,1.30867,0.82113,0.77709,0.81627,0.39941,1.78169,0.96609,1.53454,0.002212,0.002212,0.002212
120,37612.1,1.41296,0.87937,1.3011,0.81947,0.78406,0.81962,0.39952,1.78152,0.96348,1.53601,0.002146,0.002146,0.002146
121,37926.9,1.40219,0.86742,1.29976,0.82265,0.78406,0.81786,0.40011,1.78465,0.95905,1.53719,0.00208,0.00208,0.00208
122,38296.8,1.39436,0.86552,1.29868,0.81056,0.78599,0.8189,0.39986,1.78562,0.9593,1.53725,0.002014,0.002014,0.002014
123,38667.2,1.39975,0.86123,1.29723,0.80382,0.7923,0.81862,0.40026,1.78757,0.9577,1.53977,0.001948,0.001948,0.001948
124,38966.6,1.40501,0.86325,1.30371,0.80379,0.79292,0.82124,0.40068,1.78675,0.95766,1.53981,0.001882,0.001882,0.001882
125,39259.6,1.37981,0.84398,1.28677,0.80467,0.79641,0.82198,0.40077,1.78807,0.9578,1.53987,0.001816,0.001816,0.001816
126,39552.9,1.37374,0.8515,1.28378,0.80467,0.7972,0.82183,0.40141,1.79093,0.95526,1.54089,0.00175,0.00175,0.00175
127,39846.1,1.37045,0.83911,1.28721,0.81139,0.79219,0.82348,0.40093,1.79166,0.95544,1.54181,0.001684,0.001684,0.001684
128,40139.5,1.381,0.83354,1.28056,0.81215,0.79468,0.82474,0.40172,1.79335,0.95551,1.54205,0.001618,0.001618,0.001618
129,40433.4,1.37244,0.83163,1.28032,0.81844,0.79028,0.82527,0.40164,1.79283,0.95498,1.54168,0.001552,0.001552,0.001552
130,40726.1,1.36396,0.82751,1.27882,0.81091,0.79621,0.82354,0.40161,1.79359,0.9549,1.54262,0.001486,0.001486,0.001486
131,41069.3,1.34875,0.83042,1.2683,0.81171,0.79471,0.82328,0.40225,1.79514,0.9558,1.54352,0.00142,0.00142,0.00142
132,41424.7,1.35566,0.84112,1.27313,0.81218,0.79372,0.82404,0.40305,1.79616,0.95397,1.54445,0.001354,0.001354,0.001354
133,41718.8,1.35088,0.81383,1.2644,0.8144,0.79503,0.82462,0.40286,1.79539,0.9531,1.54444,0.001288,0.001288,0.001288
134,42012.1,1.34284,0.82143,1.26769,0.82458,0.78813,0.82491,0.40313,1.79601,0.95212,1.54453,0.001222,0.001222,0.001222
135,42305.7,1.34178,0.82495,1.265,0.81363,0.79572,0.82595,0.40322,1.7962,0.95108,1.5456,0.001156,0.001156,0.001156
136,42599.5,1.32336,0.80912,1.25865,0.81105,0.79955,0.82607,0.40327,1.79652,0.94973,1.54604,0.00109,0.00109,0.00109
137,42893.1,1.34363,0.81459,1.26025,0.81191,0.79715,0.82457,0.40258,1.79558,0.95001,1.5456,0.001024,0.001024,0.001024
138,43186.1,1.32075,0.79476,1.2617,0.80892,0.7972,0.82276,0.40251,1.79515,0.94906,1.54572,0.000958,0.000958,0.000958
139,43479.5,1.32353,0.80263,1.25501,0.80893,0.79865,0.82254,0.40272,1.7949,0.94879,1.54609,0.000892,0.000892,0.000892
140,43773.1,1.31068,0.7944,1.24743,0.81048,0.7986,0.82384,0.40369,1.79381,0.94844,1.5459,0.000826,0.000826,0.000826
141,44109.3,1.29751,0.67651,1.26049,0.80454,0.80033,0.82246,0.40345,1.7939,0.94703,1.547,0.00076,0.00076,0.00076
142,44408.3,1.27764,0.66892,1.25023,0.80918,0.79994,0.82182,0.40419,1.79399,0.94555,1.54698,0.000694,0.000694,0.000694
143,44699.9,1.26455,0.6677,1.24381,0.80517,0.8009,0.82204,0.40437,1.79411,0.94407,1.54707,0.000628,0.000628,0.000628
144,44991.8,1.27445,0.66412,1.24536,0.80553,0.80043,0.82169,0.40428,1.7939,0.94321,1.54744,0.000562,0.000562,0.000562
145,45283.2,1.2597,0.65586,1.23422,0.8049,0.80129,0.82186,0.40485,1.79354,0.94289,1.54794,0.000496,0.000496,0.000496
146,45573.5,1.25545,0.6537,1.24074,0.80599,0.80106,0.82075,0.40533,1.79346,0.94163,1.54823,0.00043,0.00043,0.00043
147,45865.2,1.23494,0.64706,1.2214,0.80814,0.80051,0.82224,0.40537,1.79286,0.94066,1.5485,0.000364,0.000364,0.000364
148,46156.1,1.23559,0.64574,1.22808,0.8087,0.7997,0.82194,0.40564,1.79314,0.93837,1.5493,0.000298,0.000298,0.000298
149,46455.4,1.23284,0.64096,1.22181,0.80732,0.80065,0.82198,0.40582,1.79361,0.9382,1.55022,0.000232,0.000232,0.000232
150,46752.6,1.23818,0.64238,1.22623,0.80628,0.79928,0.82219,0.4061,1.79396,0.93768,1.55119,0.000166,0.000166,0.000166
